,names,Yield Strength,Pressure treated,Area under heat treatment curve,Strengthening Precipitate Phase,Powder processed,Al,B,C,Co,Cr,Cu,Fe,Hf,La,Mg,Mn,Mo,N,Nb,Ni,P,Re,Ru,Si,Ta,Ti,V,W,Y,Th,O,Zr,Ultimate Tensile Strength,Elongation
436,Inconel718P_M,1057,No,12566,DoublePrime,Yes,5.45,0,0.04,0,18.61,0,18.61,0,0,0,0,3.02,0,0,53.35,0,0,0,0,0,0.92,0,0,0,0,0,0,,13.8
437,Waspaloy1651,816,No,44108,GammaPrime,No,1.35,0.004,0.031,12.4,19.4,0,0,0,0,0,0,4.05,0,0,59.64,0,0,0,0,0,3.07,0,0,0,0,0,0.06,,24
438,SEL,,No,12160,,No,4.4,0.015,0.08,22,15,0,0,,,0,0,4.5,0,0,51,0,,,0,0,2.4,0,0,0,0,0,0,,
439,Inconel718p5,,No,27840,,No,0.5,0.005,0.02,0,18.76,0.013,18.56,,,0,0.02,3.01,0,5.17,52.9,0,,,0.05,0,1.01,0,0,0,0,0,0,,
440,El-929,,No,6640,,No,4,0.02,0.1,14,10,0,0,,,0,0,4,0,0,60.38,0,,,0,0,2,0.5,5,0,0,0,0,,
441,Allvac718PLUS,,No,11666,,No,1.5,0,0,9,18,0,14,,,0,0,2.8,0,5.5,48.5,0,,,0,0,0.7,0,0,0,0,0,0,,
442,Waspaloy,510,No,19640,GammaPrime,No,1.5,0.006,0.08,13.5,19,0,2,0,0,0,0.1,4.3,0,0,56.31,0,0,0,0.15,0,3,0,0,0,0,0,0.05,,38.7
443,Unnamedalloy7,790,No,12349,GammaPrime,No,0,0,0.05,0,20,0,0,0,0,0,0,0,0,8,71.95,0,0,0,0,0,0,0,0,0,0,0,0,,16.6
444,Inconel706,1172,No,14223,Both,No,0.24,0.0045,0.045,0,15.75,0,39.03,0,0,0,0.06,0,0,2.89,40.19,0.002,0,0,0.13,0,1.66,0,0,0,0,0,0,,19
445,Udimet710,,No,18722,,No,2.48,0.015,0.06,15.5,17.8,0,0.14,0,,0,0.03,3.17,0,0,54.09,0,,,0,0,4.97,0,1.75,0,0,0,0,1030.8,
446,M22,860,No,0,GammaPrime,No,6.3,0,0.13,0,5.7,0,0,0,0,0,0,2,0,0,71,0,0,0,0,3,0,0,11,0,0,0,0.6,,6
447,Inconel713C,770,Yes,4820,GammaPrime,No,6.2,0.011,0.1,0,13.1,0,0,0,0,0,0,4.5,0,1.6,71.87,0,0,0,0,1.75,0.8,0,0,0,0,0,0.07,,8.3
448,GMR-235,,No,0,,No,3,0.06,0.15,0,15.5,0,10,,,0,0.3,5.3,0,0,63,0,,,0,0,2,0,0,0,0,0,0,,
449,Haynes230,,No,0,,No,0.3,0,0.1,0,22,0,0,,,0,0.5,2,0,0,57,0,,,0.4,0,0,0,14,0,0,0,0,,
450,Inconel713C,,No,0,,No,6.18,0.01,0.16,0.22,12.43,0,1.66,,,0,0.02,4.48,0,2.13,71.7,0,,,0.21,0,0.7,0,0,0,0,0,0.1,,
451,Udimet700,,No,41416,,No,4,0.03,0.06,17,15,0,0,0,,0,0,5,0,0,55,0,,,0,0,3.5,0,0,0,0,0,0,1275,
452,Astroloy,,No,41520,,No,3.87,0.02,0.015,16.9,14.8,0,0.4,,,0,0,5.1,0,0,55.43,0,,,0.02,0,3.45,0,0,0,0,0,0,,
453,Waspaloy,,No,19572,,No,1.3,0.005,0.035,13.4,19.7,0.006,0,,,0,0,4.25,0,0,58.32,0,,,0,0,3,0,0,0,0,0,0,,
454,WaspaloyER2,965,No,19620,GammaPrime,No,1.32,0.013,0.034,13.35,19.71,0,0,0,0,0,0,4.27,0,0,58.34,0,0,0,0,0,2.96,0,0,0,0,0,0,,26
455,Unnamedalloy10,,No,0,,No,5.7,0,0,15,10,0,0,,,0,0,3.5,0,0,61.7,0,,,0,0,4.1,0,0,0,0,0,0,,
456,Inconel718,1020,No,11666,DoublePrime,No,0.44,0,0.008,0,17.82,0,18.42,0,0,0,0,2.92,0,5.31,53.49,0,0,0,0,0.02,0.95,0,0,0,0,0,0,,21.8
457,Udimet720Li,,No,23992,,No,2.5,0.018,0.023,14.73,16.26,0,0,0,,0,0,3.01,0,0,57.14,0,,,0,0,5.05,0,1.27,0,0,0,0,1431,
